확인 완료 체크,ID,프로젝트,구분,기능군,기능,경로,세부 동작,현재 판정,우선순위,화면 확인,이번 로컬 실행,운영 전과정 성공,다음 확인,완료 판정 공통,코드 근거,API·연결,관련 테스트·정적 근거(통과 뜻 아님),승인 경계,확인일,담당·결과 기록
미완료,PUB-01,웹,고객,탐색,홈 편집형 여행 안내·지역 진입,/,홈 편집형 여행 안내·지역 진입,부분 검증,P2,"/ 홈 / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,데스크톱/모바일 주요 CTA와 목적지 경로 실화면 확인,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,HomePage → HomeEditorial (src/App.tsx),정적 카탈로그/컴포넌트 데이터; 클릭 목적지별 연결,tests/visual/landing-mobile.spec.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-02,웹,고객,탐색,지역별 상세·투어/플래너 연결,/region/:regionId,지역별 상세·투어/플래너 연결,부분 검증,P2,"/region/seoul 한 지역 / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"유효/잘못된 regionId, CTA 목적지",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,RegionDetail,지역·투어 카탈로그,,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-03,웹,고객,투어,투어 목록 검색·지역/기간/태그/속도/언어 필터,/tours,투어 목록 검색·지역/기간/태그/속도/언어 필터,부분 검증 — 로컬 실행 범위만 확인; 운영 미확인,P2,"/tours / 1440·390px, API·외부통신 차단",투어 목록 실제 브라우저 390×844 한국어 대표 필터 1케이스 통과. 외부 통신 대체.,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,필터 전체 조합·언어별 확인,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,ToursPage,"투어 정적 데이터, 필터는 화면 상태",tests/e2e/tours-catalog-editorial.spec.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,"Astra 통합/검수, Luna 구현·검사. 실행별 상세: docs/qa/README.md 및 플래너 점검 기록"
미완료,PUB-04,웹,고객,투어,투어 상세·사진·연관 상품·제휴 링크,/tours/:slug,투어 상세·사진·연관 상품·제휴 링크,부분 검증 — 로컬 실행 범위만 확인; 운영 미확인,P2,이번 화면 검사 대상 아님,상세 준비/오류/없는 상품 화면 assertion 통과. 콘솔 검사에서 격리 418/Firestore 차단 로그로 실패; 제품 pageerror 없음. 완전 통과로 집계하지 않음.,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,차단된 외부 경계의 응답을 명시한 뒤 콘솔 검사 재확인; 실상품 연결,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,TourDetailPage,투어 데이터; 제휴 URL 외부 이동,tests/e2e/tour-detail-editorial.spec.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,"Astra 통합/검수, Luna 구현·검사. 실행별 상세: docs/qa/README.md 및 플래너 점검 기록"
미완료,PUB-05,웹,고객,투어 예약,투어 날짜/회차/인원 선택과 예약 대화상자,/tours/:slug,투어 날짜/회차/인원 선택과 예약 대화상자,부분 검증 — UI 요청·백엔드 각각 실행; 전체 연결 미확인,P1 검증,이번 화면 검사 대상 아님,실제 capture→합성DB 예약/슬롯확정→authFetch/my-bookings 조회; 토큰누락401·DB불가503 포함 3개 통과. UI모사 제거. PayPal/환율/알림/후속처리 대역. 추가 scratch UI4개 통과: Step2 복원 후 실제 필수입력/요청 생성/성공·503/로딩 후 재클릭. HTTP·SDK·월별 슬롯 조회 대역. 날짜·회차 UI와 서버 전체 연결은 제외.,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,실제 예약UI→주문생성API→동일예약내역 연결; 실결제는 별도 승인,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,TourDetailPage → TourBookingDialog / SlotPicker,예약 API/PayPal 하위 컴포넌트; 정확 엔드포인트는 고객 플로우 동적,tests/unit/lint-tour-dialog-sync.test.tsx | tests/unit/no-fake-tour-ratings.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인,2026-09-23,"Luna UI 격리4PASS/ESLint0, Astra 검수. 로컬 근거 tmp/system-cleanup-20260923/tour-ui-check/; 백엔드3PASS와 전 과정 성공으로 합산하지 않음."
미완료,PUB-06,웹,고객,투어,투어 문의·취소/환불정책 보기,/tours/:slug,투어 문의·취소/환불정책 보기,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,문의 제출 및 정책 모달 동작,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,TourDetailPage → TourInquireModal / TourCancellationSection / RefundPolicyModal,문의 전송 경로는 modal 구현 의존,,실발송·발행·외부 계정/키 변경 별도 승인,2026-09-23,
미완료,PUB-07,웹,고객,차터,새 전세차량 견적 위저드·견적/문의·결제 패널,/charter,새 전세차량 견적 위저드·견적/문의·결제 패널,부분 검증 — 로컬 실행 범위만 확인; 운영 미확인,P1 검증,"/charter / 1440·390px, API·외부통신 차단","실제 차터 브라우저 10개, InquiryForm→submit handler→로컬 Firestore emulator 10개 통과. 문의 response workflow/API 53개 통과. 실제 발송 차단.",미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"운영 문의 저장/응답 전달, 요금·결제는 별도 승인 범위",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,CharterNewPage → CharterWizard; PayPalBookingButton,"견적·문의·예약 API, PayPal 컴포넌트",tests/e2e/charter-entry-friction.spec.ts | tests/e2e/charter-destination-editorial.spec.ts | tests/e2e/charter-funnel-probe.spec.ts | tests/unit/charter-auth-gate.test.ts | tests/unit/charter-inline-inquiry.component.test.tsx,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 실발송·발행·외부 계정/키 변경 별도 승인,2026-09-23,"Astra 통합/검수, Luna 구현·검사. 실행별 상세: docs/qa/README.md 및 플래너 점검 기록"
미완료,PUB-08,웹,고객,차터,레거시 차터 예약 폼,/charter-legacy,레거시 차터 예약 폼,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,로그인 후 구형 폼 동작 및 사용 여부 확인,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,CharterPage (AuthRequired 내부),예약 API/PayPal,tests/e2e/charter-local-stability.spec.ts | tests/unit/charter-auth-gate.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인,2026-09-23,
미완료,PUB-09,웹,고객,차터,구 경로 호환 리다이렉트,/charter-new,구 경로 호환 리다이렉트,부분 검증,P2,"/charter-new → /charter / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,직접 접속 후 최종 URL,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,Navigate → /charter,없음,,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-10,웹,고객,플래너,AI 일정 설문·무료 미리보기/유료 생성,/planner,AI 일정 설문·무료 미리보기/유료 생성,부분 검증 — 로컬 실행 범위만 확인; 운영 미확인,P1,"/planner 설문 첫 화면 / 1440·390px, API·외부통신 차단","quick UI→handler 5개/브라우저 2폭; full legacy·block 동기와 block worker callback→저장→get-plan, 생성/저장 실패 5개 통과. 외부SDK/스케줄러 대역. 중복 요청 및 영어 안내 혼입 수정.",미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,실제 작업 예약/재시도·streaming/3pass·운영 생성/실주문 연결,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,PlannerPage → PlannerForm/usePlannerHandlers,"POST /api/ai-planner-quick, /api/ai-planner-full; 결제 컴포넌트",tests/unit/planner-preview-journey.integration.test.tsx | tests/unit/planner-free-preview-truthfulness.test.ts | tests/unit/ai-planner-quick-validation.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인,2026-09-23,"Astra 통합/검수, Luna 구현·검사. 실행별 상세: docs/qa/README.md 및 플래너 점검 기록"
